1.9645	2.1291
2.9345	5.1558
4.3735	4.4474
2.4935	5.1022
4.3166	3.6266
5.4701	6.4623
4.2509	6.0598
4.1378	5.6976
4.4789	4.162
5.6241	5.5503
5.9528	6.6812
2.4547	2.4433
4.1949	4.402
4.7372	4.2124
3.5311	6.1565
1.6146	4.3636
5.1149	6.5894
2.701	3.5981
5.0526	5.9702
4.8947	5.3372
4.9792	4.6081
1.482	4.3279
6.0781	6.337
1.6278	2.5898
5.4736	5.0637
2.3351	3.9908
4.4496	6.1903
5.2695	4.2693
5.0617	4.9626
3.9568	4.5519
2.5949	5.6654
3.7462	7.1948
2.7688	6.2961
1.5498	5.0551
2.6297	4.8787
4.7365	5.6171
4.6881	3.6708
3.3173	4.31
3.9918	5.1337
4.5514	5.719
4.1859	4.0217
4.2687	4.4839
6.847	7.2707
0.68395	2.0499
4.3839	4.4057
4.3144	5.6527
4.841	7.464
3.083	3.4163
5.1599	6.5097
4.1475	4.2604
5.1049	5.332
5.2674	5.0597
5.7739	7.5925
3.8134	6.1217
5.767	3.4686
4.2269	4.835
1.8826	4.7828
3.6927	3.1037
3.1903	4.5056
1.4591	3.3719
3.314	5.4253
3.0347	3.6143
4.9238	5.7232
4.3844	4.7169
5.153	4.0084
4.3064	4.8461
3.6986	4.452
3.7777	4.6954
4.3134	4.9513
5.5518	3.9938
5.0439	7.0257
1.9873	5.779
4.0754	5.0464
3.5902	4.0558
4.713	5.7818
3.48	4.413
5.5086	5.9974
3.6508	2.8359
1.8297	6.1442
5.8778	6.5034
4.5279	6.3044
4.704	7.4735
2.9235	2.0965
5.0837	4.7946
0.74031	3.7495
5.4567	6.5384
3.9022	4.4372
1.6211	4.3394
2.1668	2.7447
4.1978	5.0301
4.2169	4.9025
2.4816	5.5764
3.2637	4.1422
5.8836	5.0017
3.2511	3.696
3.9507	5.4803
5.0341	4.7672
5.1727	7.7138
4.0995	5.9166
7.4334	8.9984
10	10
0	8
